,type,id,geometry,OBJECTID,UtilityCompany,StartDate,EstimatedRestoreDate,Cause,ImpactedCustomers,County,OutageStatus,OutageType,GlobalID,OutageTypeColor,OutageStatusColor,IncidentId
199,Feature,31919429,"{'type': 'Point', 'coordinates': [-122.10011, 37.38401]}",31919429,PGE,1713542942000,1713571200000,PLNND SHUTDOWN,7,SANTA CLARA,Active,Planned,8507b0f9-c86d-4930-a603-b76e6a441ec2,#a8a800,,2434760
201,Feature,31919431,"{'type': 'Point', 'coordinates': [-121.65401, 37.12838]}",31919431,PGE,1713543042000,1713560400000,PLNND SHUTDOWN,6,SANTA CLARA,Active,Planned,dc59efea-93c9-41d7-8e19-9ffd43f76019,#a8a800,,2434762
204,Feature,31919434,"{'type': 'Point', 'coordinates': [-122.56976, 37.96939]}",31919434,PGE,1713543120000,1713571200000,PLNND SHUTDOWN,21,MARIN,Active,Planned,d8f23890-18bc-4eb8-92d9-ad4e95ecc691,#a8a800,,2434768
207,Feature,31919437,"{'type': 'Point', 'coordinates': [-122.38991, 37.56786]}",31919437,PGE,1713543179000,1713560400000,PLNND SHUTDOWN,6,SAN MATEO,Active,Planned,ebf37771-88b9-404d-bd75-51f72fe9d400,#a8a800,,2434771
209,Feature,31919439,"{'type': 'Point', 'coordinates': [-122.01225, 37.28602]}",31919439,PGE,1713541500000,1713569400000,PLNND SHUTDOWN,4,SANTA CLARA,Active,Planned,62dba5b0-0d5e-4f33-b92d-00aab07ec0f2,#a8a800,,2434773
211,Feature,31919441,"{'type': 'Point', 'coordinates': [-122.01252, 37.28605]}",31919441,PGE,1713542940000,1713576600000,,12,SANTA CLARA,Active,Not Planned,cc11672b-a1ab-447b-9be4-039a332efa97,#ffaa00,,2434776
212,Feature,31919442,"{'type': 'Point', 'coordinates': [-122.39203, 38.2907]}",31919442,PGE,1713543182000,1713562200000,PLNND SHUTDOWN,2,NAPA,Active,Planned,84c0c9a7-5827-49af-a16f-12469ab900d7,#a8a800,,2434777
213,Feature,31919443,"{'type': 'Point', 'coordinates': [-122.5189, 37.89868]}",31919443,PGE,1713543581000,1713552300000,,1,MARIN,Active,Not Planned,265b4b28-2241-42b2-b9b8-b37c992889df,#ffaa00,,2434778
217,Feature,31919447,"{'type': 'Point', 'coordinates': [-122.36757, 37.58993]}",31919447,PGE,1713543680000,1713564000000,PLNND SHUTDOWN,1,SAN MATEO,Active,Planned,4006776c-6a15-42f8-b563-951e5cc32c13,#a8a800,,2434782
221,Feature,31919451,"{'type': 'Point', 'coordinates': [-121.75644, 37.08824]}",31919451,PGE,1713542400000,1713564000000,PLNND SHUTDOWN,15,SANTA CLARA,Active,Planned,6eca15f6-63e7-40f6-931f-4020e437716e,#a8a800,,2434786
222,Feature,31919452,"{'type': 'Point', 'coordinates': [-122.05187, 37.89088]}",31919452,PGE,1713543718000,1713553200000,PLNND SHUTDOWN,6,CONTRA COSTA,Active,Planned,58e4528d-96bf-4683-a344-206712e0792f,#a8a800,,2434787
223,Feature,31919453,"{'type': 'Point', 'coordinates': [-121.85927, 38.47467]}",31919453,PGE,1713544025000,1713555000000,,1,SOLANO,Active,Not Planned,c0963212-3b2b-47fe-bac1-2fecc6c3238b,#ffaa00,,2434788
224,Feature,31919454,"{'type': 'Point', 'coordinates': [-121.93872, 37.24272]}",31919454,PGE,1713544021000,1713566700000,,1,SANTA CLARA,Active,Not Planned,24aafa51-2ca5-4f64-8c59-e517b16a6067,#ffaa00,,2434789
225,Feature,31919455,"{'type': 'Point', 'coordinates': [-122.18797, 37.91553]}",31919455,PGE,1713544084000,1713555000000,,1,CONTRA COSTA,Active,Not Planned,f30a1444-3331-43c6-8401-448816a98b86,#ffaa00,,2434790
226,Feature,31919456,"{'type': 'Point', 'coordinates': [-121.98987, 37.52987]}",31919456,PGE,1713544113000,1713563100000,,1,ALAMEDA,Active,Not Planned,09c77f74-682d-46d7-99da-ca8249c86bd0,#ffaa00,,2434791
230,Feature,31919460,"{'type': 'Point', 'coordinates': [-121.88223, 37.67826]}",31919460,PGE,1713544281000,1713555000000,,1,ALAMEDA,Active,Not Planned,08d7daf0-652d-4610-9cf2-d49491d37928,#ffaa00,,2434800
231,Feature,31919461,"{'type': 'Point', 'coordinates': [-122.50498, 37.77546]}",31919461,PGE,1713544343000,1713564900000,,1,SAN FRANCISCO,Active,Not Planned,b4f8072c-a7a9-402a-b956-5f3c5b083f0d,#ffaa00,,2434801
232,Feature,31919462,"{'type': 'Point', 'coordinates': [-121.87122, 37.3679]}",31919462,PGE,1713544376000,1713558600000,PLNND SHUTDOWN,21,SANTA CLARA,Active,Planned,879a3fc0-7005-42ba-9f87-b6039befcd2a,#a8a800,,2434802
233,Feature,31919463,"{'type': 'Point', 'coordinates': [-122.69204, 37.91601]}",31919463,PGE,1713544557000,1713555000000,,3,MARIN,Active,Not Planned,474bb45e-9601-4286-ad4c-a5c75bbb0432,#ffaa00,,2434803
234,Feature,31919464,"{'type': 'Point', 'coordinates': [-121.84592, 37.35838]}",31919464,PGE,1713544267000,1713560400000,PLNND SHUTDOWN,1,SANTA CLARA,Active,Planned,63540152-b07d-4677-9f76-ce578162e4ef,#a8a800,,2434804
