,type,id,geometry,OBJECTID,UtilityCompany,StartDate,EstimatedRestoreDate,Cause,ImpactedCustomers,County,OutageStatus,OutageType,GlobalID,OutageTypeColor,OutageStatusColor,IncidentId
220,Feature,31966520,"{'type': 'Point', 'coordinates': [-122.40922, 37.74647]}",31966520,PGE,1713974460000,1714003200000.0,PLNND SHUTDOWN,28,SAN FRANCISCO,Active,Planned,1b0ac685-7a78-415f-8ace-06b1b29ffa12,#a8a800,,2437988
225,Feature,31966525,"{'type': 'Point', 'coordinates': [-122.10902, 37.92144]}",31966525,PGE,1713974760000,1713999600000.0,PLNND SHUTDOWN,47,CONTRA COSTA,Active,Planned,f729e47d-8de1-48e7-b3e8-d18bcc6d8410,#a8a800,,2437994
228,Feature,31966528,"{'type': 'Point', 'coordinates': [-122.28953, 37.55049]}",31966528,PGE,1713974439000,1713999600000.0,PLNND SHUTDOWN,12,SAN MATEO,Active,Planned,04ebe550-4cbb-48ff-ab9e-f4befab0614c,#a8a800,,2437997
235,Feature,31966535,"{'type': 'Point', 'coordinates': [-122.1115, 37.6912]}",31966535,PGE,1713974820000,1713996000000.0,PLNND SHUTDOWN,25,ALAMEDA,Active,Planned,7fddde53-3558-4089-af33-0684fb0f18f6,#a8a800,,2438004
236,Feature,31966536,"{'type': 'Point', 'coordinates': [-122.1115, 37.69127]}",31966536,PGE,1713974820000,1713996000000.0,PLNND SHUTDOWN,11,ALAMEDA,Active,Planned,2a08c3fa-9c6e-41ca-8315-e12615956b2c,#a8a800,,2438005
237,Feature,31966537,"{'type': 'Point', 'coordinates': [-121.97749, 37.81994]}",31966537,PGE,1713974580000,1713999600000.0,PLNND SHUTDOWN,21,CONTRA COSTA,Active,Planned,97170f24-a769-44ad-87a4-b417410f9c89,#a8a800,,2438006
238,Feature,31966538,"{'type': 'Point', 'coordinates': [-121.73118, 37.04252]}",31966538,PGE,1713975000000,1713999600000.0,PLNND SHUTDOWN,9,SANTA CLARA,Active,Planned,cc00cc8f-6809-4d17-903b-9b87915d835e,#a8a800,,2438007
239,Feature,31966539,"{'type': 'Point', 'coordinates': [-121.85561, 38.24173]}",31966539,PGE,1713975031000,1714011300000.0,PATROLLING,253,SOLANO,Active,Not Planned,df786a91-4cdf-41b0-a85c-3667349332db,#ffaa00,,2438008
240,Feature,31966540,"{'type': 'Point', 'coordinates': [-121.67744, 37.2799]}",31966540,PGE,1713975053000,1713987900000.0,PLNND SHUTDOWN,1,SANTA CLARA,Active,Planned,4931c1b8-2bbc-4455-8c32-be037ccab80c,#a8a800,,2438009
242,Feature,31966542,"{'type': 'Point', 'coordinates': [-121.9968, 37.89684]}",31966542,PGE,1713974832000,1713996000000.0,PLNND SHUTDOWN,2,CONTRA COSTA,Active,Planned,ad31d844-04f6-4e49-b6c2-1568c6709801,#a8a800,,2438011
244,Feature,31966544,"{'type': 'Point', 'coordinates': [-122.25539, 37.49592]}",31966544,PGE,1713975060000,1713996000000.0,PLNND SHUTDOWN,27,SAN MATEO,Active,Planned,29f679e2-449a-4c04-9666-4304859eeebd,#a8a800,,2438013
247,Feature,31966547,"{'type': 'Point', 'coordinates': [-122.045, 37.66265]}",31966547,PGE,1713975275000,1713991500000.0,,1,ALAMEDA,Active,Not Planned,a99562fb-b05b-4fc8-9cac-5e2a9e7f046c,#ffaa00,,2438016
248,Feature,31966548,"{'type': 'Point', 'coordinates': [-121.85968, 37.89694]}",31966548,PGE,1713975026000,1713996000000.0,PLNND SHUTDOWN,150,CONTRA COSTA,Active,Planned,9b764f62-3a49-46ac-b56d-1c016fc5b365,#a8a800,,2438017
249,Feature,31966549,"{'type': 'Point', 'coordinates': [-122.25499, 37.49612]}",31966549,PGE,1713975393000,1713992400000.0,,11,SAN MATEO,Active,Not Planned,884b7fff-849a-4e77-9ae5-242edab1a1f7,#ffaa00,,2438018
252,Feature,31966552,"{'type': 'Point', 'coordinates': [-122.28539, 37.52805]}",31966552,PGE,1713975594000,1713991500000.0,,1,SAN MATEO,Active,Not Planned,cfd0cdb5-27c8-49d6-b54e-a146ce988774,#ffaa00,,2438022
254,Feature,31966554,"{'type': 'Point', 'coordinates': [-122.41489, 37.75092]}",31966554,PGE,1713975333000,1714003200000.0,PLNND SHUTDOWN,41,SAN FRANCISCO,Active,Planned,b0571f7a-903f-4e0a-b4f8-d0201f3377e2,#a8a800,,2438024
256,Feature,31966556,"{'type': 'Point', 'coordinates': [-121.9406, 37.95008]}",31966556,PGE,1713975645000,1714012200000.0,,1,CONTRA COSTA,Active,Not Planned,19b58ad1-cb02-44f1-9a61-3223ceceb26d,#ffaa00,,2438026
258,Feature,31966558,"{'type': 'Point', 'coordinates': [-122.15732, 37.88499]}",31966558,PGE,1713975484000,1713996000000.0,PLNND SHUTDOWN,27,CONTRA COSTA,Active,Planned,dcfe82ee-2098-4ee9-ac99-c858b698bfe9,#a8a800,,2438029
262,Feature,31966562,"{'type': 'Point', 'coordinates': [-122.68402, 38.01461]}",31966562,PGE,1713975675000,1713988800000.0,PLNND SHUTDOWN,1,MARIN,Active,Planned,4897c8b9-983b-45df-bb40-cdef3a856817,#a8a800,,2438033
263,Feature,31966563,"{'type': 'Point', 'coordinates': [-122.03375, 37.29399]}",31966563,PGE,1713975060000,1713999600000.0,PLNND SHUTDOWN,14,SANTA CLARA,Active,Planned,ef1b4478-fb76-4fc6-bab0-71b2d1dfc6d4,#a8a800,,2438034
264,Feature,31966564,"{'type': 'Point', 'coordinates': [-122.41573, 37.75085]}",31966564,PGE,1713975660000,1714003200000.0,PLNND SHUTDOWN,1,SAN FRANCISCO,Active,Planned,324deb3c-7849-40aa-bbcc-b4ff2d0ec074,#a8a800,,2438035
266,Feature,31966566,"{'type': 'Point', 'coordinates': [-121.63169, 37.59513]}",31966566,PGE,1713976099000,1713992400000.0,EMERG REPAIRS,3,ALAMEDA,Active,Not Planned,8be034a2-86a3-40be-b1ce-0935363b66e2,#ffaa00,,2438037
267,Feature,31966567,"{'type': 'Point', 'coordinates': [-121.85785, 37.28454]}",31966567,PGE,1713976190000,1713988800000.0,PLNND SHUTDOWN,1,SANTA CLARA,Active,Planned,756f4932-5a16-489a-a624-3feeb6cbbb92,#a8a800,,2438038
269,Feature,31966569,"{'type': 'Point', 'coordinates': [-121.86158, 37.28684]}",31966569,PGE,1713976231000,1713994200000.0,PLNND SHUTDOWN,1,SANTA CLARA,Active,Planned,9b483861-bd9c-49c1-bfba-0122f9e19d19,#a8a800,,2438040
270,Feature,31966570,"{'type': 'Point', 'coordinates': [-122.09181, 38.24991]}",31966570,PGE,1713976260000,1713996000000.0,PLNND SHUTDOWN,1,SOLANO,Active,Planned,3eff1e76-e32f-4f24-a503-4df51b18db5f,#a8a800,,2438041
271,Feature,31966571,"{'type': 'Point', 'coordinates': [-121.98538, 37.76664]}",31966571,PGE,1713976278000,1713997800000.0,,1,CONTRA COSTA,Active,Not Planned,5c662788-494b-4b55-988d-085d3c488210,#ffaa00,,2438042
274,Feature,31966574,"{'type': 'Point', 'coordinates': [-122.10758, 37.69679]}",31966574,PGE,1713976349000,1713997800000.0,PLNND SHUTDOWN,62,ALAMEDA,Active,Planned,d97a4689-2534-41c0-b1ae-363b30b0db77,#a8a800,,2438045
278,Feature,31966578,"{'type': 'Point', 'coordinates': [-122.51811, 37.94728]}",31966578,PGE,1713976551000,1713995100000.0,,1,MARIN,Active,Not Planned,ce537a9e-771a-4012-b421-195b3e0b8dd7,#ffaa00,,2438049
279,Feature,31966579,"{'type': 'Point', 'coordinates': [-122.45284, 37.65726]}",31966579,PGE,1713976572000,1714005900000.0,PATROLLING,1,SAN MATEO,Active,Not Planned,cfd626ae-485e-4a5c-9ae8-de22f2922c31,#ffaa00,,2438050
281,Feature,31966581,"{'type': 'Point', 'coordinates': [-121.92997, 37.72472]}",31966581,PGE,1713976249000,1713997800000.0,PLNND SHUTDOWN,11,ALAMEDA,Active,Planned,8d5a31ce-88fe-4306-bc0f-4d7d48078cb3,#a8a800,,2438052
